"CID","FeatureHydrophobeCount3D","HBondAcceptorCount","HBondDonorCount","IsomericSMILES","MolecularWeight","drug_class"
"5282367","7.0","2","0","CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C","444.659","hematologic"
"5282230","0.0","5","2","COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC","327.336","multi"
"5281792","0.0","8","5","C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O","360.318","multi"
"5281758","1.0","3","0","C/C=C\C1=CC(=C(C=C1OC)OC)OC","208.257","multi"
"5280892","3.0","4","2","CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO","336.472","multi"
"5280723","4.0","5","3","CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O","354.487","multi"
"5280427","3.0","5","3","CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)O2)O)O","352.471","multi"
"5150303","NA","8","2","C(C[NH+](CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-].[Ca+2]","330.306","hematologic"
"5102882","NA","7","4","C1(C(C(OC(C1O)O)C(=O)[O-])O)O.[Na+]","216.121","hematologic"
"4655928","0.0","7","3","CC1=C(C(=NC(=C1F)OC2=CC=CC(=C2)CN)OC3=CC=CC(=C3)C(=N)N)F","384.387","hematologic"
"4564402","0.0","4","0","COC1=CC=C(C=C1)CCCOC2=C(C=CC(=C2)CCN3C=CN=C3)OC","366.461","multi"
"4469995","0.0","5","4","C1=CC(=CC(=C1)C(CCCNC2=CC=NC=C2)C(=O)O)C3=CC(=CC=C3)C(=N)N","388.471","hematologic"
"4129546","0.0","4","1","C1CN(CC2=C1SC=C2)C(C3=CC=CC=C3Cl)C(=O)O","307.792","hematologic"
"4129359","0.0","15","9","C1(C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O","420.092","multi"
"4125253","NA","16","11","C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O","504.438","hematologic"
"3625248","0.0","5","2","C1=CC(=C(C=C1O)S(=O)(=O)[O-])O","189.161","hematologic"
"3611371","NA","11","10","C(CC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)O)NC(=O)CN)CN=C(N)N","490.474","multi"
"3425471","NA","13","3","CC1CCC2(CCC(C(O2)C(C)CCC(C(C)C(=O)CC(C(C(C(C)C)OC(=O)CC(C3=C(C(=O)OC3=O)C)O)OC)O)O)C)OC1CCC(C)C(=O)C","766.966","hematologic"
"3400921","0.0","7","2","CN(CC1=CSC(=C1Cl)C(=O)NC2=C(C=C(C=C2C(=O)NC3=NC=C(C=C3)Cl)Cl)OC)C4=NCCO4","568.854","hematologic"
"3359494","0.0","6","2","C(C(C(=O)O)N)SN=O","150.152","multi"
"3083445","NA","49","9","CO[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1OC)OC)O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3OS(=O)(=O)O)OS(=O)(=O)O)O[C@H]4[C@@H]([C@H]([C@@H](O[C@H]4C(=O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5OS(=O)(=O)O)OS(=O)(=O)O)OC)COS(=O)(=O)O)OC)OC)COS(=O)(=O)O)OC)OC)COS(=O)(=O)O","1529.301","hematologic"
"3083444","NA","49","0","CO[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1OC)OC)O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)[O-])O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3OS(=O)(=O)[O-])OS(=O)(=O)[O-])O[C@H]4[C@@H]([C@H]([C@@H](O[C@H]4C(=O)[O-])O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5OS(=O)(=O)[O-])OS(=O)(=O)[O-])OC)COS(=O)(=O)[O-])OC)OC)COS(=O)(=O)[O-])OC)OC)COS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]","1727.137","hematologic"
"3070748","0.0","6","4","C1CCN(CC1)C(=O)[C@H](CC2=CC=C(C=C2)C(=N)N)NC(=O)CNS(=O)(=O)C3=CC4=CC=CC=C4C=C3","521.636","hematologic"
"3060974","NA","4","1","CC1=CC(=C(C(=C1)C)N=C2C=C3C4=CC(=C(C=C4CCN3C(=O)N2C)OC)OC)C.Cl","441.956","hematologic"
"3038484","0.0","7","5","C1CN(CCC1OCC(=O)O)C(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)C3=CC=C(C=C3)C(=N)N","468.51","hematologic"
"3037233","1.0","6","2","CCCCCNC(=O)C1=COC(=N1)[C@@H]2[C@H]3CC[C@@H]([C@@H]2CC4=CC=CC=C4CCC(=O)O)O3","440.54","hematologic"
"3035443","0.0","4","1","C1=CC(=C(C=C1[N+]2=NOC(=N)[N-]2)Cl)Cl","231.036","multi"
"3034761","NA","13","3","C[C@@H]1CC[C@@]2(CC[C@@H]([C@@H](O2)[C@H](C)CC[C@@H]([C@H](C)C(=O)C[C@H]([C@@H]([C@@H](C(C)C)OC(=O)C[C@H](C3=C(C(=O)OC3=O)C)O)OC)O)O)C)O[C@H]1CC[C@H](C)C(=O)C","766.966","hematologic"
"3033963","0.0","6","1","CC1=NN=C2N1C3=C(C4=C(S3)CN(CC4)C(=S)NC5=CC=C(C=C5)OC)C(=NC2)C6=CC=CC=C6Cl","535.081","hematologic"
"3032806","0.0","15","8","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)O)O)O)O","477.39","hematologic"
"3021729","0.0","3","1","CC1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3","254.293","multi"
"3021728","NA","3","2","CC1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3.Cl","290.751","multi"
"2734086","3.0","3","1","CC1=C(C(=O)C(=C(C1=O)C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O)C","446.716","multi"
"2725048","NA","4","1","CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)[O-])C.[Na+]","363.389","hematologic"
"1548910","0.0","3","3","C1=CC(=CC=C1/C=C\C2=CC(=CC(=C2)O)O)O","228.247","multi"
"657310","NA","3","1","[H+].C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl.[Cl-]","300.241","multi"
"656646","NA","21","15","C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Fe+3]","641.286","hematologic"
"656635","0.0","7","4","CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=NO)N","473.574","hematologic"
"656507","3.0","4","2","CCCCCC=CC[C@@H](C=CC=CCC=CCCCC(=O)O)OO","336.472","multi"
"644077","NA","16","14","C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N","1084.239","multi"
"644076","NA","16","13","C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N","1056.225","multi"
"636822","1.0","3","0","C/C=C/C1=CC(=C(C=C1OC)OC)OC","208.257","multi"
"636750","1.0","3","0","COC1=CC(=C(C=C1CC=C)OC)OC","208.257","multi"
"636380","NA","52","9","CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)[O-])O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)[O-])O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]","1728.035","hematologic"
"517318","NA","6","1","CC1(CC(=O)C2=CC=CC=C2C1=O)S(=O)(=O)[O-].O.[Na+]","294.253","hematologic"
"455149","NA","16","11","C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O","504.438","multi"
"448812","NA","12","10","C1C[C@H]2C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N","831.965","hematologic"
"445858","0.0","4","2","COC1=C(C=CC(=C1)/C=C/C(=O)O)O","194.186","multi"
"445468","NA","9","2","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC","691.972","hematologic"
"445154","0.0","3","3","C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O","228.247","multi"
"444005","NA","7","2","CN(C)CC(COC1=CC=CC=C1CCC2=CC(=CC=C2)OC)OC(=O)CCC(=O)O.Cl","465.971","multi"
"443422","0.0","5","0","COC1=C(C2=C(C[C@@H]3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC","339.391","multi"
"441294","1.0","10","3","C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5C3(C2O)C6([C@@H](C5)C(C)(C)C)[C@H](O4)OC(=O)C6O)O","424.402","multi"
"440646","NA","13","3","C[C@@H]1CC[C@@]2(CC[C@@H]([C@@H](O2)[C@H](C)CC[C@@H]([C@H](C)C(=O)C[C@H]([C@H]([C@@H](C(C)C)OC(=O)C[C@H](C3=C(C(=O)OC3=O)C)O)OC)O)O)C)O[C@H]1CC[C@H](C)C(=O)C","766.966","hematologic"
"439306","0.0","16","11","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O","504.438","multi"
"255968","1.0","3","1","CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC=C(C=C3)O","266.296","multi"
"235244","0.0","8","1","CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC)OC","624.778","multi"
"216210","0.0","7","4","CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N","471.521","hematologic"
"213023","NA","8","2","CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N","627.746","hematologic"
"198008","NA","16","12","C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.O.O.[Fe+2]","482.169","hematologic"
"183797","0.0","6","5","C1CCC(CC1)[C@H](C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NCC(=O)O","429.521","hematologic"
"180604","NA","3","2","CCCCCC(C1=CC(=CC=C1)OCC2=NC3=CC=CC=C3C=C2)O.Cl","371.905","multi"
"178804","NA","2","3","C1CCN(CC1)C2=CC3=C(C=C2)NC4=NC(=O)CN4C3.Cl.Cl","343.252","multi"
"175534","NA","2","1","CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2.Cl","319.873","hematologic"
"172293","NA","6","3","CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2.CC(C(=O)O)O","301.302","multi"
"169535","NA","9","0","CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3]","431.154","hematologic"
"167569","NA","19","15","CC(=O)O.CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N","1189.328","hematologic"
"164676","1.0","3","0","CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C","294.35","multi"
"161064","NA","10","0","C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Mg+2]","358.497","hematologic"
"159372","NA","22","2","[OH-].[OH-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3]","737.674","hematologic"
"137329","NA","16","5","CC(=O)OC1=CC=CC=C1C(=O)O.C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO","684.795","hematologic"
"135539","NA","13","0","CC1=CC(=C(C=C1)N(CC(=O)[O-])CC(=O)[O-])OCC2=NC3=C(C=C(C=C3C=C2)OC)N(CC(=O)[O-])CC(=O)[O-].[K+].[K+].[K+].[K+]","693.874","hematologic"
"128852","NA","2","2","CCC1=C(C=CC(=N1)C)O.Cl","173.64","multi"
"128049","0.0","1","1","CC1=C2CN3CC(=O)N=C3NC2=CC=C1","201.229","hematologic"
"128048","NA","1","2","CC1=C2CN3CC(=O)N=C3NC2=CC=C1.Cl","237.687","hematologic"
"123969","0.0","9","4","C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C4=C(C(=O)N=C(N4)N)N=C3SC5=CC=C(C=C5)Cl)O)OP(=O)(O1)O","487.808","hematologic"
"123879","0.0","6","2","C1CC2=C(C[C@@H]1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O","416.467","hematologic"
"123830","NA","17","12","C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O.OP(=O)(O)O","470.273","hematologic"
"123811","NA","11","10","C(C[C@@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O)NC(=O)CN)CN=C(N)N","490.474","multi"
"122335","1.0","4","2","CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)O)C","341.407","hematologic"
"122298","NA","6","3","CCC1=C(C=CC(=N1)C)O.C(CC(=O)O)C(=O)O","255.27","multi"
"122296","NA","6","6","B([C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)C)(O)O","460.342","multi"
"122267","0.0","5","4","CN[C@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C=O","416.526","hematologic"
"122204","NA","2","1","C=CO.C=O","74.079","hematologic"
"122128","NA","10","10","CC(=N)N1CC[C@@H](C1)OC2=CC=C(C=C2)[C@H](CC3=CC4=C(C=C3)C=CC(=C4)C(=N)N)C(=O)O.O.O.O.O.O.Cl","571.068","hematologic"
"122021","2.0","6","3","C1CCC(CC1)C(CNN2C(C(=O)N(C2=O)CC3=CC=CC=C3)CCCCCCC(=O)O)O","459.587","hematologic"
"122007","3.0","4","3","CCCCCC(C=CC1C(CC2C1CC(=C2)CCCCC(=O)O)O)O","350.499","multi"
"121868","0.0","2","1","C1CCN(CC1)C2=CC3=C(C=C2)NC4=NC(=O)CN4C3","270.336","multi"
"119368","3.0","5","0","CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CSC(=N2)N(CCN(C)C)CC3=CN=CC=C3)C(C)C","464.716","hematologic"
"119032","0.0","7","0","CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC(=C2)CO[N+](=O)[O-]","331.28","multi"
"115366","NA","8","2","COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O","419.891","hematologic"
"115205","0.0","19","6","C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)O[C@@H]3[C@H](O[C@H]([C@@H]3O)N4C=NC5=C4N=CN=C5N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O","715.397","hematologic"
"114917","0.0","3","0","CC1=CC=CC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4C","276.291","multi"
"114840","0.0","4","4","C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O","271.316","multi"
"114681","1.0","2","1","CCC1=C(C=CC(=N1)C)O","137.182","multi"
"108092","0.0","2","0","CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2","283.415","hematologic"
"108022","0.0","4","1","C(CSN=O)O","107.127","multi"
"107775","NA","10","9","C(C[C@@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O)N)CN=C(N)N","433.422","hematologic"
"107681","NA","8","1","CCCCCCCCCCCCCCCCCCNC(=O)OCC(COP(=O)([O-])OCC[N+]1=CSC=C1)OC","592.773","hematologic"
"107641","1.0","3","1","CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O","295.338","multi"
"105075","NA","4","2","OS(=O)(=O)O.[Fe]","153.917","hematologic"
"105053","NA","1","0","[K+].I[I-]I","419.812","hematologic"
"104956","0.0","4","0","COC1=CC=C(C=C1)CCCOC(CN2C=CN=C2)C3=CC=C(C=C3)OC","366.461","multi"
"104955","NA","4","1","COC1=CC=C(C=C1)CCCOC(CN2C=CN=C2)C3=CC=C(C=C3)OC.Cl","402.919","multi"
"104928","0.0","6","0","CC(=O)OC1C(SC2=C(C=CC(=C2)Cl)N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC","448.962","multi"
"104858","0.0","10","5","C(CC(=O)N[C@@H](CSN=O)C(=O)NCC(=O)O)[C@@H](C(=O)O)N","336.319","multi"
"104841","0.0","13","4","CC1=CC(=C(C=C1)N(CC(=O)O)CC(=O)O)OCC2=NC3=C(C=C(C=C3C=C2)OC)N(CC(=O)O)CC(=O)O","541.513","hematologic"
"104794","1.0","4","1","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC","464.65","hematologic"
"92722","0.0","8","5","C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C","508.638","hematologic"
"91626","NA","8","4","CC(=O)OC1=CC=CC=C1C(=O)O.C(CCN)C[C@@H](C(=O)O)N","326.349","multi"
"84621","0.0","5","3","CC1=C(C2=CC=CC=C2C(=C1OC(=O)C3=CC=C(C=C3)N)O)O","309.321","hematologic"
"82755","0.0","3","3","C1=CC(=C(C=C1CCO)O)O","154.165","multi"
"81530","1.0","3","0","CCOC(=O)C(=C)C#N","125.127","hematologic"
"74490","0.0","3","1","COC1=CC2=C(C=C1)SC3=CC=CC=C3N2","229.297","hematologic"
"73400","0.0","8","1","CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC)OC","624.778","multi"
"72300","2.0","2","2","C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O","266.34","multi"
"72162","0.0","5","2","C1=CC(=C(C(=C1)OCCCCC(=O)O)C=O)O","238.239","hematologic"
"72126","NA","70","18","C(CNC(=O)[C@@H]([C@H]([C@@H]([C@@H](COS(=O)(=O)O)OS(=O)(=O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)CNC(=O)[C@@H]([C@H]([C@@H]([C@@H](COS(=O)(=O)O)OS(=O)(=O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O","2035.601","multi"
"72125","NA","70","2","C(CNC(=O)[C@@H]([C@H]([C@@H]([C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-])O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])CNC(=O)[C@@H]([C@H]([C@@H]([C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]","2387.309","multi"
"71853","NA","47","29","COC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)N)O)CO)CO)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O","1526.464","multi"
"68942","0.0","3","0","C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)F","240.233","hematologic"
"68876","0.0","6","0","CCN(CC)CCC1=C(C2=C(C(=C(C=C2)OCC(=O)OCC)Cl)OC1=O)C","395.88","hematologic"
"68822","1.0","5","2","CC(C)(C(=O)NC(=O)NCN1CCOCC1)OC2=CC=C(C=C2)Cl","355.819","multi"
"66384","0.0","4","0","C1CCCN(CC1)CCOC(=O)C(C2CCCCC2)C3=CSC=C3","349.533","multi"
"66383","NA","11","4","C1CCCN(CC1)CCOC(=O)C(C2CCCCC2)C3=CSC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O","541.656","multi"
"66136","NA","4","4","CNCC(=O)C1=CC(=C(C=C1)O)O.Cl","217.649","multi"
"66005","0.0","6","5","C1CCC(CC1)C[C@H](C(=O)N2CCCC[C@H]2C(=O)NCCCN=C(N)N)NCC(=O)O","438.573","hematologic"
"65923","0.0","6","0","CC1=NN=C2N1C3=C(C4=C(S3)CC(C4)C(=O)N5CCOCC5)C(=NC2)C6=CC=CC=C6Cl","467.972","hematologic"
"65913","0.0","5","1","COC1=CC=C(C=C1)C(=C(CCC(=O)O)C#N)C2=CC=C(C=C2)OC","337.375","hematologic"
"65889","0.0","6","0","CC1=NN=C2N1C3=C(C=C(S3)CCC(=O)N4CCOCC4)C(=NC2)C5=CC=CC=C5Cl","455.961","multi"
"65762","0.0","15","9","[C@H]1([C@H](C([C@@H]([C@@H](C1O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O","420.092","multi"
"65686","0.0","8","0","CC1=CC(=O)OC2=CC(=CC(=C12)OCCN3CCOCC3)OCCN4CCOCC4","418.49","hematologic"
"65663","2.0","5","2","CCOC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C","342.436","hematologic"
"65526","0.0","3","2","C1=CC(=CC=C1CN)C(=O)O","151.165","hematologic"
"65335","NA","2","1","C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl.Cl","300.241","multi"
"65243","NA","10","3","CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O","424.402","multi"
"65109","NA","9","2","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC","691.972","hematologic"
"65045","NA","4","3","C1=CC2=C(C=C1N)SC3=CC(=N)C=CC3=N2.Cl","263.743","hematologic"
"64781","NA","7","4","CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O.Cl","477.057","multi"
"64759","NA","20","17","CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N.O.O.O","1183.321","hematologic"
"64758","NA","17","14","CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N","1129.276","hematologic"
"64730","NA","13","9","C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O","372.279","hematologic"
"62621","NA","4","0","CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)[O-])C.CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)[O-])C.[Zn+2]","668.28","multi"
"61361","1.0","2","0","CCCCC1C2=CC=CC=C2C(=O)O1","190.242","multi"
"60957","1.0","5","4","CCOC(=O)C[C@@H](C#C)NC(=O)CCC(=O)NC1=CC=C(C=C1)C(=N)N","358.398","hematologic"
"60947","1.0","7","3","CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O","440.599","multi"
"60946","NA","8","5","CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O.O.Cl","495.072","multi"
"60943","0.0","8","2","COC1=C(C=C(C=C1)S(=O)(=O)N2[C@H]([C@](C3=C2C=CC(=C3)Cl)(C4=CC=CC=C4Cl)O)C(=O)N5CCC[C@H]5C(=O)N)OC","620.498","hematologic"
