"CID","HBondAcceptorCount","HBondDonorCount","IsomericSMILES","MolecularWeight","XLogP","drug_class","desalted_SMILES"
"4283516","14","7","CC1CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC3C(O3)C=CC(=O)O1)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O","665.733","-1.3","antiinfective","CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O"
"129317863","14","7","CC1CC=CC=CC=CC=CC(CC2C(C(C[C@@](O2)(CC(C[C@@H]3[C@H](O3)C=CC(=O)O1)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O","665.733","-1.3","antiinfective","CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2O[C@@](O)(CC(O)C[C@H]3O[C@@H]3C=CC(=O)O1)CC(O)C2C(=O)O"
"556998","2","2","CC1CCC(C(C1)O)C(C)(C)O","172.268","2.2","respiratorysystem","CC1CCC(C(C)(C)O)C(O)C1"
"1254","1","1","CC1CCC(C(C1)O)C(C)C","156.269","3.0","dermatologic","CC1CCC(C(C)C)C(O)C1"
"162291","4","0","CC1CCC(C(C1)OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(CCC2C(C)C)C)C(C)C","623.02","10.7","antiinfective","CC1CCC(C(C)C)C(OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(C)CCC2C(C)C)C1"
"5198","3","1","CC1CCC(CC1)NC(=O)N(CCCl)N=O","247.723","3.3","antineoplastic","CC1CCC(NC(=O)N(CCCl)N=O)CC1"
"5362868","4","2","CC1CCC/C=C/C2CC(CC2C(/C=C/C(=O)O1)O)O","280.364","2.0","antiinfective","CC1CCC/C=C/C2CC(O)CC2C(O)/C=C/C(=O)O1"
"5353446","4","2","CC1CCC/C=C\C2CC(CC2C(/C=C\C(=O)O1)O)O","280.364","2.0","antiinfective","CC1CCC/C=C\C2CC(O)CC2C(O)/C=C\C(=O)O1"
"108062","19","12","CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O","959.133","0.1","antiinfective","CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1C"
"5513","22","13","CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1","1034.2","-0.7","antiinfective","CC1CCC2(NC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C"
"2240","5","0","CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C","282.336","2.8","antiinfective","CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4"
"540327","5","1","CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)O)C","284.352","2.5","antiinfective","CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4"
"105031","8","1","CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C","384.425","2.5","antiinfective","CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4"
"2430","4","2","CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O","280.364","2.0","antiinfective","CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1"
"45030936","4","1","CC1CCCN(C1)C2=NC3=C(S2)C(=O)N=CN3","250.32","2.1","cardio","CC1CCCN(c2nc3[nH]cnc(=O)c3s2)C1"
"9926325","3","1","CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F.Cl","299.814","NA","cns","CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1"
"129317578","8","1","CC1CC[C@@H]2C(C(O[C@H]3[C@@]24[C@@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C","384.425","2.5","antiinfective","CC1CC[C@@H]2C(C)C(OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@H]1[C@]32OO4"
"49769200","8","1","C[C@@H]1[C@@H]2CCC([C@H]3C24C(OC1OC(=O)CCC(=O)O)O[C@](CC3)(OO4)C)C","384.425","2.5","antiinfective","CC1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1C32OO4"
"133612499","22","13","C[C@H]1C2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@@H]5[C@@]4(CC[C@@H](C5)O[C@H]6C(C([C@H](C(O6)CO)O[C@H]7C(C([C@@H](C(O7)CO)O)O[C@H]8C(C([C@@H](CO8)O)O)O)O[C@H]9C(C([C@@H](C(O9)CO)O)O)O)O)O)C)C)O[C@@]11CCC(CN1)C","1034.2","-0.7","antiinfective","CC1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6OC(CO)[C@H](O[C@@H]7OC(CO)[C@@H](O)C(O[C@@H]8OC[C@@H](O)C(O)C8O)C7O[C@@H]7OC(CO)[C@@H](O)C(O)C7O)C(O)C6O)CC[C@]5(C)[C@H]4CC[C@]3(C)C1[C@@H]2C"
"15386","3","1","CC1CC[NH+](CC1)CCCC(=O)C2=CC=C(C=C2)F.[Cl-]","299.814","NA","cns","CC1CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1"
"10429474","7","2","CC1CN2C(C(O1)C)C3(CC4=C2C=CC(=C4)[N+](=O)[O-])C(=O)NC(=O)NC3=O","374.353","0.9","antineoplastic","CC1CN2c3ccc([N+](=O)[O-])cc3CC3(C(=O)NC(=O)NC3=O)C2C(C)O1"
"92722","8","5","C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C","508.638","1.3","hematologic","CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1"
"6842999","7","0","CC1CS(=O)(=O)CCN1/N=C/C2=CC=C(O2)[N+](=O)[O-]","287.29","1.3","antiinfective","CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1"
"3702","5","2","CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N","365.832","2.9","cardio","CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1"
"56841493","11","4","CCC[C@@H](C(=O)OCC)N[C@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O.CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N","734.306","NA","cardio","CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1.CCC[C@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC"
"92196","2","1","CC1C(OC(=N1)N)C2=CC=CC=C2","176.219","1.2","cns","CC1N=C(N)OC1c1ccccc1"
"93364","4","1","CC1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl","329.74","2.7","antiinfective","CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O"
"316447","18","4","CC1C(=O)N(C2CSSCC(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)C","1087.238","2.0","antiinfective","CC1NC(=O)C(NC(=O)c2cnc3ccccc3n2)COC(=O)C(C(C)C)N(C)C(=O)C2CSSCC(C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c3cnc4ccccc4n3)C(=O)NC(C)C(=O)N2C)N(C)C1=O"
"57458936","28","19","CC1C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)CNC(=O)C(NC2=O)C(C)O)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)O)C(=O)NC(CSSCC(C(=O)N3)N)C(=O)NC(C(=O)N5CCCC5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O","1526.725","-6.8","gastrointestinal","CC1NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC(=O)C2CSSCC(N)C(=O)NC3CSSCC(NC1=O)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)CSSCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCC(=O)O)NC3=O)C(=O)N2"
"92159","2","2","CC1C(OCCN1)C2=CC=CC=C2.Cl","213.705","NA","cns","CC1NCCOC1c1ccccc1"
"5649","18","6","CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C","1111.338","9.1","antiinfective","CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O"
"31264","3","0","CC1OC(OC(O1)C)C","132.159","0.7","cns","CC1OC(C)OC(C)O1"
"69643318","6","0","CC1OC(OC(O1)C)C.CC1OC(OC(O1)C)C","264.318","NA","cns","CC1OC(C)OC(C)O1.CC1OC(C)OC(C)O1"
"6420032","18","12","C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O","926.107","-0.2","antiinfective","CC1OC(OC2/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)C[C@]3(O)CC(O)C(C(=O)O)C(C2)O3)C(O)C(N)C1O"
"5351525","19","12","C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(C[C@H]([C@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O","959.133","0.1","antiinfective","CC1OC(OC2C(CO)OC(OCC3OC(OC(=O)[C@]45CC[C@@H](C)[C@H](C)[C@H]4C4=CCC6[C@@]7(C)C[C@@H](O)[C@@H](O)[C@@](C)(CO)C7CC[C@@]6(C)[C@]4(C)CC5)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O"
"3062","14","6","CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O","780.949","1.3","cardio","CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O"
"3061","13","5","CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O","764.95","2.3","cardio","CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O"
"4951","8","4","CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O","530.658","1.9","cardio","CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O"
"4605","12","8","CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O","584.659","-1.7","cardio","CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O"
"2862","10","5","CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O","550.645","-0.7","cardio","CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O"
"222154","8","4","CC1C(C(C(C(O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O","530.658","1.9","cardio","CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)C1O"
"5386092","18","12","C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O","924.091","0.0","antiinfective","CC1OC(O[C@H]2/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C2)O3)C(O)C(N)C1O"
"289840","12","8","CC1C(C(C(C(O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O","584.659","-1.7","cardio","CC1OC(O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C(O)C(O)C1O"
"3417","4","2","CC1C(O1)P(=O)(O)O","138.059","-1.4","antiinfective","CC1OC1P(=O)(O)O"
"253794","10","4","CC1C2=C(C3=C(C(=C2C4C(O1)CC(=O)O4)O)C(=O)C5=C(C3=O)C6(C(OC5CC6O)C)O)O","444.392","-0.4","antineoplastic","CC1OC2CC(=O)OC2c2c(O)c3c(c(O)c21)C(=O)C1=C(C3=O)C2CC(O)C1(O)C(C)O2"
"23835497","14","7","C[C@@H]1C/C=C/C=C/C=C/C=C/C(C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)O)O[C@H]4C(C([C@@H](C(O4)C)O)N)O","665.733","-1.3","antiinfective","CC1O[C@@H](OC2/C=C/C=C/C=C/C=C/C[C@@H](C)OC(=O)/C=C/[C@H]3O[C@@H]3C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C2)O3)C(O)C(N)[C@@H]1O"
"6713990","19","12","C[C@@H]1CCC2(CC[C@@]3(C(=CC[C@H]4[C@]3(CCC5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O[C@H]6C([C@@H]([C@@H](C(O6)CO[C@H]7C([C@@H]([C@@H](C(O7)CO)O[C@H]8C([C@H]([C@H](C(O8)C)O)O)O)O)O)O)O)O","959.133","0.1","antiinfective","CC1O[C@@H](O[C@@H]2C(CO)O[C@@H](OCC3O[C@@H](OC(=O)C45CC[C@@H](C)[C@H](C)[C@H]4C4=CC[C@@H]6[C@@]7(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)C7CC[C@@]6(C)[C@]4(C)CC5)C(O)[C@H](O)[C@@H]3O)C(O)[C@@H]2O)C(O)[C@@H](O)[C@H]1O"
"6713988","8","4","CC1[C@@H]([C@@H](C([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H](CC[C@@]5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O","530.658","1.9","cardio","CC1O[C@@H](O[C@@H]2C=C3CCC4C(CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)[C@@H](O)[C@H]1O"
"52931497","8","4","CC1[C@@H]([C@@H](C([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O","530.658","1.9","cardio","CC1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)[C@@H](O)[C@H]1O"
"22624","12","8","CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)O)CO)O)O)O)O","584.659","-1.7","cardio","CC1O[C@H](O[C@H]2C[C@@H](O)[C@]3(CO)C4C(CC[C@]3(O)C2)[C@@]2(O)CC[C@H](C3=CC(=O)OC3)[C@@]2(C)C[C@H]4O)C(O)C(O)[C@H]1O"
"441183","10","4","C[C@@H]1[C@]2([C@@H](C[C@@H](O1)C3=C2C(=O)C4=C(C3=O)C(=C5[C@H]6[C@H](CC(=O)O6)OC(C5=C4O)C)O)O)O","444.392","-0.4","antineoplastic","CC1O[C@H]2CC(=O)O[C@H]2c2c(O)c3c(c(O)c21)C(=O)C1=C(C3=O)[C@H]2C[C@@H](O)[C@]1(O)[C@@H](C)O2"
"5702099","18","12","C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H](C([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O","926.107","-0.2","antiinfective","CC1[C@H](C)OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)C[C@]2(O)CC(O)C(C(=O)O)C(CC(OC3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@H]1O)O2"
"54681535","9","7","CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl","480.898","NA","antiinfective","CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21"
"4555259","24","13","CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C","1131.269","0.7","cardio","CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C"
"44135353","24","13","CC=C(C)C(=O)OC1C([C@@]2(C(C[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(CCC([C@]5(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C2CC1(C)C)C)O)CO)OC(=O)C","1131.269","0.7","cardio","CC=C(C)C(=O)OC1C(OC(C)=O)[C@]2(CO)C(O)C[C@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)[C@](C)(CO)C5CC[C@]43C)C2CC1(C)C"
"5293","7","1","CC=C(C)C=CC=CC(C(C)C(C(C)CCC1=C(C(=O)C2=C(O1)C(=C(C=C2OC)OC)O)C)OC)OC","514.659","6.3","antiinfective","CC=C(C)C=CC=CC(OC)C(C)C(OC)C(C)CCc1oc2c(O)c(OC)cc(OC)c2c(=O)c1C"
"1253","2","2","CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3","242.322","0.0","cns","CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2"
"267891","7","2","CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O)C","351.399","0.6","antineoplastic","CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23"
"10191","7","2","CC=C1C[C@H]([C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O)C","351.399","0.6","antineoplastic","CC=C1C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23"
"126968828","7","2","CC=C1C[C@H]([C@@](C(=O)OCC2=CCN3[C@@H]2[C@@H](CC3)OC1=O)(CO)O)C","351.399","0.6","antineoplastic","CC=C1C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23"
"1633595","2","2","CC=C1[C@H]2CC3=C([C@@]1(CC(=C2)C)N)C=CC(=O)N3","242.322","0.0","cns","CC=C1[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2"
"449069","2","2","CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3","242.322","0.0","cns","CC=C1[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2"
"66957706","8","5","CC=CC1=C(N2[C@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O","407.441","NA","antiinfective","CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@@H]2SC1"
"92088","8","5","CC=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O","407.441","NA","antiinfective","CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1"
"3649143","14","6","CCC1C(C(CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C=CC)C)OC3CC(C(C(O3)C)OC(=O)N)O)O)O)OC)C)C)O","866.099","6.0","antiinfective","CC=CC1OC(O)(C(C)C(O)C(C)C2OC(=O)C(OC)=CC(C)=CC(C)C(O)C(CC)C(O)C(C)CC(C)=CC=CC2OC)CC(OC2CC(O)C(OC(N)=O)C(C)O2)C1C"
"54725604","12","7","CCC(C(=O)NCC=CC=C(C)C(C(C)C1C(C(C(O1)C=CC=CC=C(C)C(=C2C(=O)C=CN(C2=O)C)O)O)O)OC)C3(C(C(C(C(O3)C=CC=CC)(C)C)O)O)O","810.982","4.3","antiinfective","CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(O)=C3C(=O)C=CN(C)C3=O)C(O)C2O)C(O)C(O)C1(C)C"
"54706480","12","8","CCC(C(=O)NCC=CC=C(C)C(C(C)C1C(C(C(O1)C=CC=CC=C(C)C(=C2C(=O)C=CNC2=O)O)O)O)OC)C3(C(C(C(C(O3)C=CC=CC)(C)C)O)O)O","796.955","4.1","antiinfective","CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(O)=C3C(=O)C=CNC3=O)C(O)C2O)C(O)C(O)C1(C)C"
"57369547","12","7","CC[C@H](C(=O)NCC=CC=C(C)[C@H]([C@@H](C)[C@H]1C(C([C@H](O1)C=CC=CC=C(C)C(=C2C(=O)C=CN(C2=O)C)O)O)O)OC)C3(C(C(C(C(O3)C=CC=CC)(C)C)O)O)O","810.982","4.3","antiinfective","CC=CC=CC1OC(O)([C@H](CC)C(=O)NCC=CC=C(C)[C@@H](OC)[C@@H](C)[C@@H]2O[C@H](C=CC=CC=C(C)C(O)=C3C(=O)C=CN(C)C3=O)C(O)C2O)C(O)C(O)C1(C)C"
"5311044","5","3","CCC#CC[C@H](C)[C@@H](C#C[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/COCC(=O)O)/C2)O)O","374.477","2.1","antineoplastic","CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C/COCC(=O)O)C[C@H]2C[C@H]1O"
"5477877","7","3","CC/C(=C\C(C)C/C=C/C(=C/C(CO)C(=O)C(C)C(C(C)C/C(=C/C(=O)O)/C)O)/C)/C=C/C1C(C=CC(=O)O1)C","556.74","6.6","antineoplastic","CCC(/C=C/C1OC(=O)C=CC1C)=C\C(C)C/C=C/C(C)=C/C(CO)C(=O)C(C)C(O)C(C)C/C(C)=C/C(=O)O"
"63062","3","1","CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3","387.523","6.8","antineoplastic","CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1"
"57300","10","5","CCC(=C(C1=CC=C(C=C1)OCCN(C)C)C2=CC(=CC=C2)O)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O","579.646","4.857","antineoplastic","CCC(=C(c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O"
"6436292","7","3","CC/C(=C/C(C)C/C=C/C(=C/C(CO)C(=O)C(C)C(C(C)C/C(=C/C(=O)O)/C)O)/C)/C=C/C1C(C=CC(=O)O1)C","556.74","6.6","antineoplastic","CCC(=C/C(C)C/C=C/C(C)=C/C(CO)C(=O)C(C)C(O)C(C)C/C(C)=C/C(=O)O)/C=C/C1OC(=O)C=CC1C"
